Trade_ID,Side,Entry_Time,Entry_Price,SL,TP,status,PnL_Pct,Exit_Price,Exit_Time,Capital_Acumulado,PnL_USD
EW3_L_0517,LONG,2024-05-17 12:00:00,86.83,83.45065000000001,95.13127999999999,CLOSED,0.9560382356328447,95.13127999999999,2024-05-20 21:30:00,3726.003589071247,1821.1310149082176
EW3_L_0522,LONG,2024-05-22 18:30:00,94.43,92.48525000000001,117.46270000000001,CLOSED,-0.20594620353701143,92.48525000000001,2024-05-23 20:00:00,2958.647295536745,-767.3562935345021
EW3_L_0527,LONG,2024-05-27 00:00:00,109.95,105.79835,117.26768000000001,CLOSED,-0.3775943610732154,105.79835,2024-05-28 04:15:00,1841.478760337551,-1117.168535199194
EW3_L_0529,LONG,2024-05-29 12:45:00,105.63,103.43025,110.24402,CLOSED,-0.20825049701789217,103.43025,2024-05-29 16:00:00,1457.989893249364,-383.4888670881869
EW3_S_0531,SHORT,2024-05-31 18:15:00,102.44,105.33404999999999,94.76222000000001,CLOSED,-0.28251171417415005,105.33404999999999,2024-06-01 13:00:00,1046.0906692589,-411.8992239904639
EW3_L_0602,LONG,2024-06-02 15:30:00,104.54,102.7437,112.01338,CLOSED,-0.17182896498947792,102.7437,2024-06-02 19:00:00,866.341992274993,-179.74867698390707
EW3_S_0605,SHORT,2024-06-05 13:00:00,102.87,105.04259999999998,95.03851999999999,CLOSED,-0.21119860017497563,105.04259999999998,2024-06-05 18:15:00,683.371776233715,-182.97021604127806
EW3_L_0605,LONG,2024-06-05 22:00:00,104.15,101.7885,110.00167999999998,CLOSED,-0.22674027844455175,101.7885,2024-06-06 21:30:00,528.4238694093345,-154.94790682438045
EW3_S_0606,SHORT,2024-06-06 23:15:00,102.55,104.71094999999998,98.96386,CLOSED,0.3496967333008289,98.96386,2024-06-07 18:00:00,713.2119703399626,184.7881009306281
EW3_L_0609,LONG,2024-06-09 11:15:00,92.99,91.41065,109.61946,CLOSED,-0.1698408431014078,91.41065,2024-06-10 07:00:00,592.0794479874071,-121.1325223525555
EW3_S_0616,SHORT,2024-06-16 07:15:00,85.2,87.25409999999998,83.21185999999999,CLOSED,-0.24109154929577192,87.25409999999998,2024-06-17 05:15:00,449.33409656593767,-142.7453514214694
EW3_S_0621,SHORT,2024-06-21 14:30:00,85.46,87.1134,76.87492000000003,CLOSED,-0.19347062953428562,87.1134,2024-06-24 20:00:00,362.4011460321062,-86.93295053383144
EW3_L_0627,LONG,2024-06-27 07:00:00,92.82,89.55,106.989,CLOSED,-0.3522947640594695,89.55,2024-07-02 17:00:00,234.72911979584399,-127.67202623626223
EW3_L_0713,LONG,2024-07-13 15:00:00,96.7,95.0424,106.71656,CLOSED,-0.17141675284384716,95.0424,2024-07-22 05:30:00,194.492616282546,-40.23650351329798
