Trade_ID,Side,Entry_Time,Entry_Price,SL,TP,Qty,Capital_Entrada,Trailing_Active,status,PnL_Pct,Exit_Price,Exit_Time,Capital_Acumulado,PnL_USD
EW3_L_0122,LONG,2025-01-22 03:45:00,364.79,317.77315,431.22234000000003,4.407120977852432,2590.1118243442656,False,CLOSED,-0.08,317.77315,2025-01-26 23:45:00,2382.902878396724,-207.20894594754125
EW3_S_0209,SHORT,2025-02-09 18:15:00,243.17,242.68365999999997,202.24784,17.827759307185843,2382.902878396724,True,CLOSED,0.003638567287010294,242.68365999999997,2025-02-09 20:30:00,2391.573230858181,8.67035246145699
EW3_L_0212,LONG,2025-02-12 16:30:00,240.15,240.6303,284.78601999999995,19.647648964468985,2391.573230858181,True,CLOSED,0.003945840200865689,240.6303,2025-02-21 19:30:00,2401.0099966558155,9.436765797634449
EW3_L_0226,LONG,2025-02-26 15:30:00,206.69,197.4677,234.26634,20.827862868532304,2401.0099966558155,False,CLOSED,-0.08000000000000002,197.4677,2025-02-26 18:15:00,2208.92919692335,-192.08079973246527
EW3_L_0327,LONG,2025-03-27 18:30:00,184.7,178.7219,197.40182,29.56028433011634,2208.92919692335,False,CLOSED,-0.08,178.7219,2025-03-28 05:00:00,2032.214861169482,-176.714335753868
EW3_S_0403,SHORT,2025-04-03 23:30:00,150.87,150.56826,143.51739999999995,8.604426073775516,2032.214861169482,True,CLOSED,0.001277571369597645,150.56826,2025-04-04 06:15:00,2034.8111606929829,2.596299523500983
EW3_S_0416,SHORT,2025-04-16 17:00:00,135.55,135.27890000000002,124.02458,22.327898452873104,2034.8111606929829,True,CLOSED,0.0029747690535136487,135.27890000000002,2025-04-16 19:45:00,2040.8642539635566,6.053093270573673
EW3_S_0417,SHORT,2025-04-17 03:15:00,134.49,142.84064999999998,124.02458,19.551668470967535,2040.8642539635566,False,CLOSED,-0.08,142.84064999999998,2025-04-20 02:30:00,1877.595113646472,-163.26914031708452
EW3_L_0505,LONG,2025-05-05 22:15:00,178.52,172.4534,191.40924,24.759768089492834,1877.595113646472,False,CLOSED,-0.08000000000000002,172.4534,2025-05-06 02:15:00,1727.3875045547543,-150.20760909171779
EW3_S_0512,SHORT,2025-05-12 09:30:00,222.71,222.26458,202.6203,17.278626667881248,1727.3875045547543,True,CLOSED,0.004455425241941672,222.26458,2025-05-12 12:30:00,1735.0837504451622,7.696245890407887
EW3_S_0522,SHORT,2025-05-22 05:30:00,253.55,261.79245,228.51831999999996,16.84046612786412,1735.0837504451622,False,CLOSED,-0.08,261.79245,2025-05-23 02:15:00,1596.2770504095492,-138.80670003561298
EW3_L_0525,LONG,2025-05-25 17:45:00,263.5,264.027,317.32568000000003,14.933916962369302,1596.2770504095492,True,CLOSED,0.004930331008109909,264.027,2025-05-26 10:45:00,1604.1472246487176,7.870174239168425
EW3_S_0612,SHORT,2025-06-12 19:00:00,300.98,300.37804,255.05498,13.304972108144634,1604.1472246487176,True,CLOSED,0.38090712671325455,255.05498,2025-06-19 14:00:00,2215.1783348147023,611.0311101659847
EW3_S_0620,SHORT,2025-06-20 01:15:00,254.03,253.52194,236.50644000000003,13.019403872826848,2215.1783348147023,True,CLOSED,0.10299229698307678,236.50644000000003,2025-06-21 21:15:00,2443.3246397444154,228.14630492971332
EW3_L_0623,LONG,2025-06-23 17:30:00,233.76,234.22752,259.53592000000003,14.74319158394739,2443.3246397444154,True,CLOSED,0.15553370216585455,259.53592000000003,2025-06-24 03:15:00,2823.343966556917,380.0193268125018
EW3_L_0624,LONG,2025-06-24 15:00:00,260.96,220.50195000000002,259.53592000000003,5.582758371314327,2823.343966556917,False,CLOSED,-0.002815914261809352,259.53592000000003,2025-06-24 15:15:00,2815.393672015496,-7.95029454142101
EW3_L_0703,LONG,2025-07-03 17:30:00,279.28,271.3564,315.4190200000001,28.425399283310703,2815.393672015496,False,CLOSED,-0.08,271.3564,2025-07-04 07:15:00,2590.1621782542566,-225.2314937612397
EW3_L_0715,LONG,2025-07-15 22:15:00,323.54,324.18708000000004,351.68154000000004,10.600430449791281,2590.1621782542566,True,CLOSED,0.0026482227997299524,324.18708000000004,2025-07-16 02:15:00,2597.0215047897077,6.859326535451119
EW3_L_0716,LONG,2025-07-16 04:45:00,327.41,328.06482,351.68154000000004,8.87203301718264,2597.0215047897077,True,CLOSED,0.002237018311013839,328.06482,2025-07-16 06:00:00,2602.831089450019,5.809584660311291
EW3_L_0805,LONG,2025-08-05 10:00:00,260.39,254.86924999999997,298.57395999999994,37.7170651009375,2602.831089450019,False,CLOSED,-0.08,254.86924999999997,2025-08-05 14:30:00,2394.6046022940177,-208.22648715600153
EW3_S_0829,SHORT,2025-08-29 17:45:00,310.12,318.9468,277.20124000000004,21.703037135034396,2394.6046022940177,False,CLOSED,-0.08,318.9468,2025-08-29 23:00:00,2203.0362341104965,-191.56836818352141
EW3_L_0902,LONG,2025-09-02 18:30:00,310.98,311.60196,334.19142,22.759226572075626,2203.0362341104965,True,CLOSED,0.0064253725561094,311.60196,2025-09-04 15:30:00,2217.191562669265,14.155328558768188
EW3_L_0908,LONG,2025-09-08 03:00:00,302.14,302.74428,307.82396000000006,30.223440058195976,2217.191562669265,True,CLOSED,0.008237186477644695,302.74428,2025-09-08 19:30:00,2235.454983027632,18.263420358367178
EW3_L_0924,LONG,2025-09-24 23:30:00,277.96,266.8192,296.15139999999997,16.052383907996845,2235.454983027632,False,CLOSED,-0.08,266.8192,2025-09-25 04:45:00,2056.6185843854214,-178.83639864221055
EW3_L_0928,LONG,2025-09-28 13:00:00,262.7,263.2254,287.41137999999995,52.32626872462373,2056.6185843854214,True,CLOSED,0.6287283020068076,287.41137999999995,2025-10-01 19:15:00,3349.672894821712,1293.0543104362905
EW3_S_1006,SHORT,2025-10-06 05:30:00,286.05,297.5805,264.06360000000006,23.24043463733037,3349.672894821712,False,CLOSED,-0.08,297.5805,2025-10-06 15:15:00,3081.699063235975,-267.97383158573695
EW3_S_1017,SHORT,2025-10-17 23:15:00,205.77,247.44105,196.81246000000004,5.916239812984748,3081.699063235975,False,CLOSED,-0.07999999999999999,247.44105,2025-10-27 05:15:00,2835.1631381770967,-246.53592505887795
EW3_L_1031,LONG,2025-10-31 19:15:00,217.73,218.16546,234.41513999999998,34.412539986977315,2835.1631381770967,True,CLOSED,0.20252028523744467,234.41513999999998,2025-10-31 20:15:00,3409.341185615411,574.1780474383144
EW3_S_1112,SHORT,2025-11-12 14:00:00,218.09,217.65382,178.44224,112.8430503503185,3409.341185615411,True,CLOSED,1.3122694193335067,178.44224,2025-11-14 12:30:00,7883.315363572756,4473.974177957345
EW3_S_1115,SHORT,2025-11-15 05:00:00,178.29,177.93341999999998,159.69839999999996,25.41933858861167,7883.315363572756,True,CLOSED,0.0011497735833086722,177.93341999999998,2025-11-16 02:15:00,7892.379391326684,9.064027753927355
EW3_L_1126,LONG,2025-11-26 06:30:00,178.13,178.48626,196.05187999999998,125.03398213894401,7892.379391326684,True,CLOSED,0.00564400217832551,178.48626,2025-11-30 11:45:00,7936.923997803503,44.54460647681917
EW3_S_1207,SHORT,2025-12-07 04:00:00,189.09,188.71182000000002,172.34378,193.16537976462212,7936.923997803503,True,CLOSED,0.009203979191384298,188.71182000000002,2025-12-07 17:15:00,8009.9752811228855,73.05128331938212
EW3_S_1216,SHORT,2025-12-16 17:15:00,185.99,185.61802,171.32332000000002,104.60642242479905,8009.9752811228855,True,CLOSED,0.0048578797871299696,185.61802,2025-12-17 13:45:00,8048.886778136463,38.91149701357756
EW3_L_1226,LONG,2025-12-26 23:45:00,154.23,154.53846,166.60560000000004,196.99900331974501,8048.886778136463,True,CLOSED,0.007549654286238692,154.53846,2025-12-28 05:15:00,8109.653090700472,60.76631256400788
EW3_L_0103,LONG,2026-01-03 20:15:00,160.33,160.65066000000002,194.69512000000003,192.01830504514635,8109.653090700472,True,CLOSED,0.0075925059934294934,160.65066000000002,2026-01-20 08:00:00,8171.225680396249,61.572589695777346
EW3_S_0125,SHORT,2026-01-25 00:15:00,156.2,155.8876,148.39672,248.5354932825285,8171.225680396249,True,CLOSED,0.2373440802980786,148.39672,2026-01-25 18:30:00,10110.617724417938,1939.3920440216893
EW3_S_0202,SHORT,2026-02-02 02:45:00,125.15,124.89970000000001,101.74522000000002,137.0466651903485,10110.617724417938,True,CLOSED,0.0033927482209420035,124.89970000000001,2026-02-02 03:45:00,10144.92050471508,34.30278029714365
EW3_L_0203,LONG,2026-02-03 12:00:00,127.15,127.4043,142.72316,362.6909953868727,10144.92050471508,True,CLOSED,0.009091477856727898,127.4043,2026-02-03 16:15:00,10237.152824841964,92.23232012688196
EW3_S_0211,SHORT,2026-02-11 16:15:00,107.21,106.99557999999999,96.94336,112.81386128347087,10237.152824841964,True,CLOSED,0.0023629175563055745,106.99557999999999,2026-02-11 18:15:00,10261.342372978366,24.18954813640228
EW3_L_0213,LONG,2026-02-13 08:00:00,110.97,111.19194,124.6228,338.4557050602033,10261.342372978366,True,CLOSED,0.45031808530375844,124.6228,2026-02-14 08:00:00,14882.21042302431,4620.868050045943
EW3_L_0225,LONG,2026-02-25 12:45:00,117.38,117.61475999999999,121.01,236.94957486007775,14882.21042302431,True,CLOSED,0.05779564542451165,121.01,2026-02-25 15:30:00,15742.337379766393,860.1269567420845
EW3_S_0301,SHORT,2026-03-01 17:00:00,113.63,113.40274,91.34198,223.55915936011664,15742.337379766393,True,CLOSED,0.003227351398368664,113.40274,2026-03-01 22:00:00,15793.143434322574,50.80605455618036
EW3_L_0302,LONG,2026-03-02 09:15:00,114.66,114.88932,133.23054000000002,269.81548369957335,15793.143434322574,True,CLOSED,0.003917781598026784,114.88932,2026-03-03 10:45:00,15855.01752104456,61.8740867219865
EW3_S_0311,SHORT,2026-03-11 15:30:00,110.39,110.16922,104.34525999999998,307.8868368287911,15855.01752104456,True,CLOSED,0.004287302473481193,110.16922,2026-03-12 10:30:00,15922.992776879622,67.975255835062
EW3_S_0312,SHORT,2026-03-12 13:00:00,110.38,110.15924,100.51682000000001,1039.656741195986,15922.992776879622,True,CLOSED,0.01441403795143852,110.15924,2026-03-12 19:15:00,16152.507399066048,229.5146221864243
EW3_S_0319,SHORT,2026-03-19 05:15:00,115.97,115.73806,103.5472,348.7344394465617,16152.507399066048,True,CLOSED,0.005007610514384315,115.73806,2026-03-25 12:00:00,16233.392864951282,80.88546588523359
EW3_L_0331,LONG,2026-03-31 01:00:00,97.37,97.56474,107.93612,725.3931906362627,16233.392864951282,True,CLOSED,0.008702005250516481,97.56474,2026-03-31 05:00:00,16374.655934895785,141.26306994450283
