ts,clase,pnl,motivo
2024-01-03 06:40:00,LONG_PARTIAL,2.6454474256732845,Rebalanceo Techo
2024-01-03 07:44:00,SHORT_PARTIAL,0.5112899297920022,Rebalanceo Suelo
2024-01-03 07:47:00,SHORT_PARTIAL,0.9476439213279975,Rebalanceo Suelo
2024-01-03 07:49:00,SHORT_PARTIAL,0.9209283708257925,Rebalanceo Suelo
2024-01-03 10:43:00,SHORT_PARTIAL,0.17289295676408784,Rebalanceo Suelo
2024-01-03 10:44:00,SHORT_PARTIAL,0.13727222276114348,Rebalanceo Suelo
2024-01-03 11:13:00,SHORT_PARTIAL,1.6244378673838389,Rebalanceo Suelo
2024-01-03 11:15:00,SHORT_PARTIAL,1.8292570879007402,Rebalanceo Suelo
2024-01-03 11:16:00,SHORT_PARTIAL,1.5710067663794287,Rebalanceo Suelo
2024-01-03 11:17:00,SHORT_PARTIAL,1.3661875458625272,Rebalanceo Suelo
2024-01-03 11:30:00,SHORT_PARTIAL,2.0607918589198344,Rebalanceo Suelo
2024-01-03 11:55:00,LONG_PARTIAL,-2.7567777590290743,OLA BAJISTA (SL Long)
2024-01-03 11:56:00,SHORT_PARTIAL,3.583578237545474,Rebalanceo Suelo
2024-01-03 11:58:00,SHORT_PARTIAL,3.530147136541064,Rebalanceo Suelo
2024-01-03 11:59:00,SHORT_PARTIAL,3.3965693840300384,Rebalanceo Suelo
2024-01-03 12:01:00,LONG_PARTIAL,-4.63270579549649,OLA BAJISTA (SL Long)
2024-01-03 12:02:00,SHORT_PARTIAL,6.2106073702622115,Rebalanceo Suelo
2024-01-03 12:07:00,SHORT_PARTIAL,7.448427876864322,Rebalanceo Suelo
2024-01-03 12:08:00,LONG_PARTIAL,-4.372759856630827,OLA BAJISTA (SL Long)
2024-01-03 12:11:00,SHORT_PARTIAL,16.478283946609302,Rebalanceo Suelo
2024-01-03 12:12:00,SHORT_PARTIAL,15.979593670568168,Rebalanceo Suelo
2024-01-03 12:13:00,SHORT_PARTIAL,14.946592384482935,Rebalanceo Suelo
2024-01-03 12:14:00,SHORT_PARTIAL,13.45942673986024,Rebalanceo Suelo
2024-01-03 12:15:00,SHORT_PARTIAL,12.061312930244899,Rebalanceo Suelo
2024-01-03 12:16:00,SHORT_PARTIAL,11.339993066685388,Rebalanceo Suelo
2024-01-03 12:17:00,SHORT_PARTIAL,10.79677687314057,Rebalanceo Suelo
2024-01-03 12:21:00,SHORT_PARTIAL,10.983785726656006,Rebalanceo Suelo
2024-01-03 12:22:00,SHORT_PARTIAL,10.814587240142037,Rebalanceo Suelo
2024-01-03 12:23:00,SHORT_PARTIAL,10.093267376582538,Rebalanceo Suelo
2024-01-03 12:28:00,SHORT_PARTIAL,10.725535405134694,Rebalanceo Suelo
2024-01-03 12:33:00,SHORT_PARTIAL,11.464665635695672,Rebalanceo Suelo
2024-01-03 12:34:00,SHORT_PARTIAL,11.06393237816261,Rebalanceo Suelo
2024-01-03 12:36:00,SHORT_PARTIAL,10.7522509556369,Rebalanceo Suelo
2024-01-03 12:42:00,SHORT_PARTIAL,10.689914671131751,Rebalanceo Suelo
2024-01-03 14:17:00,SHORT_PARTIAL,11.63386412220963,Rebalanceo Suelo
2024-01-03 16:03:00,LONG_PARTIAL,3.0601521846473236,Rebalanceo Techo
2024-01-03 18:58:00,SHORT_PARTIAL,2.3390664356774606,Rebalanceo Suelo
2024-01-03 20:28:00,LONG_PARTIAL,2.857603074250268,Rebalanceo Techo
2024-01-03 20:40:00,LONG_PARTIAL,3.333467563322987,Rebalanceo Techo
2024-01-03 21:17:00,LONG_PARTIAL,3.7485833942162072,Rebalanceo Techo
2024-01-03 21:25:00,LONG_PARTIAL,3.7890824996692114,Rebalanceo Techo
2024-01-03 21:27:00,LONG_PARTIAL,3.8802054869384444,Rebalanceo Techo
2024-01-04 00:10:00,LONG_PARTIAL,4.639563714182147,Rebalanceo Techo
2024-01-04 00:12:00,LONG_PARTIAL,4.690187595998404,Rebalanceo Techo
2024-01-04 00:13:00,LONG_PARTIAL,4.68006281963515,Rebalanceo Techo
2024-01-04 00:18:00,LONG_PARTIAL,5.064804321438621,Rebalanceo Techo
2024-01-04 01:25:00,SHORT_PARTIAL,1.185944892759783,Rebalanceo Suelo
2024-01-04 05:38:00,LONG_PARTIAL,4.718827727338713,Rebalanceo Techo
2024-01-04 05:42:00,LONG_PARTIAL,4.789549559860787,Rebalanceo Techo
2024-01-04 05:44:00,LONG_PARTIAL,4.8602713923828755,Rebalanceo Techo
2024-01-04 05:45:00,LONG_PARTIAL,4.799652678792517,Rebalanceo Techo
2024-01-04 07:42:00,SHORT_PARTIAL,0.7833115078468421,Rebalanceo Suelo
2024-01-04 07:43:00,SHORT_PARTIAL,0.5604179900387192,Rebalanceo Suelo
2024-01-04 07:47:00,SHORT_PARTIAL,0.7348563952798487,Rebalanceo Suelo
2024-01-04 07:48:00,SHORT_PARTIAL,0.6864012827128689,Rebalanceo Suelo
2024-01-04 07:55:00,SHORT_PARTIAL,0.7445474177932501,Rebalanceo Suelo
2024-01-04 07:57:00,SHORT_PARTIAL,0.6864012827128689,Rebalanceo Suelo
