2026-04-07 18:58:14 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.7 | PRECIO: 96.49 | NOTAS: Estrategia MTF
2026-04-07 18:58:14 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.7 | PRECIO: 90.82 | NOTAS: Estrategia MTF
2026-04-07 18:58:21 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 131.7 | PRECIO: 94.66 | NOTAS: Estrategia MTF
2026-04-07 18:58:21 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.7 | PRECIO: 96.55 | NOTAS: Estrategia MTF
2026-04-07 18:58:22 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.7 | PRECIO: 90.87 | NOTAS: Estrategia MTF
2026-04-07 18:58:30 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 131.6 | PRECIO: 94.71 | NOTAS: Estrategia MTF
2026-04-07 18:58:30 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.6 | PRECIO: 96.6 | NOTAS: Estrategia MTF
2026-04-07 18:58:31 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.6 | PRECIO: 90.92 | NOTAS: Estrategia MTF
2026-04-07 18:58:40 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 131.6 | PRECIO: 94.72 | NOTAS: Estrategia MTF
2026-04-07 18:58:40 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.6 | PRECIO: 96.61 | NOTAS: Estrategia MTF
2026-04-07 18:58:40 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.6 | PRECIO: 90.93 | NOTAS: Estrategia MTF
2026-04-07 18:58:48 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 131.6 | PRECIO: 94.72 | NOTAS: Estrategia MTF
2026-04-07 18:58:48 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.6 | PRECIO: 96.61 | NOTAS: Estrategia MTF
2026-04-07 18:58:48 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.6 | PRECIO: 90.93 | NOTAS: Estrategia MTF
2026-04-07 18:58:56 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 131.5 | PRECIO: 94.76 | NOTAS: Estrategia MTF
2026-04-07 18:58:57 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.5 | PRECIO: 96.66 | NOTAS: Estrategia MTF
2026-04-07 18:58:57 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.5 | PRECIO: 90.97 | NOTAS: Estrategia MTF
2026-04-07 18:59:05 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 131.5 | PRECIO: 94.76 | NOTAS: Estrategia MTF
2026-04-07 18:59:05 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.5 | PRECIO: 96.66 | NOTAS: Estrategia MTF
2026-04-07 18:59:05 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.5 | PRECIO: 90.97 | NOTAS: Estrategia MTF
2026-04-07 18:59:12 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 131.6 | PRECIO: 94.73 | NOTAS: Estrategia MTF
2026-04-07 18:59:13 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.6 | PRECIO: 96.62 | NOTAS: Estrategia MTF
2026-04-07 18:59:13 | [COLOCAR_TP] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.6 | PRECIO: 90.94 | NOTAS: Estrategia MTF
2026-04-07 18:59:20 | [ABRIR_POSICION] | PAR: AAVEUSDT | LADO: SELL | CANT: 131.5 | PRECIO: 94.76 | NOTAS: Estrategia MTF
2026-04-07 18:59:20 | [COLOCAR_SL] | PAR: AAVEUSDT | LADO: BUY | CANT: 131.5 | PRECIO: 96.66 | NOTAS: Estrategia MTF
